,File,defense__conflict defender,defense__legal aid bureau,defense__legal aid society,defense__public defender,defense__nan
0,2009_08295.htm.txt,0,0,0,0,1
1,2009_08296.htm.txt,0,0,0,0,1
2,2009_08297.htm.txt,0,0,1,0,0
3,2009_08298.htm.txt,0,0,0,0,1
4,2009_08311.htm.txt,0,0,1,0,0
5,2009_08312.htm.txt,0,0,0,0,1
6,2009_08313.htm.txt,0,0,0,0,1
7,2009_08314.htm.txt,0,0,0,0,1
8,2009_08315.htm.txt,0,0,0,1,0
9,2009_08316.htm.txt,0,0,0,1,0
10,2009_08317.htm.txt,0,0,0,1,0
11,2009_08329.htm.txt,0,0,0,1,0
12,2009_08330.htm.txt,0,0,0,1,0
13,2009_08331.htm.txt,0,0,0,1,0
14,2009_08332.htm.txt,0,0,0,1,0
15,2009_08333.htm.txt,0,0,0,0,1
16,2009_08334.htm.txt,0,0,0,0,1
17,2009_08338.htm.txt,0,0,0,0,1
18,2009_08339.htm.txt,0,0,0,0,1
19,2009_08340.htm.txt,0,0,0,1,0
20,2009_08341.htm.txt,0,0,0,0,1
21,2009_08342.htm.txt,0,1,0,0,0
22,2009_08343.htm.txt,0,1,0,0,0
23,2009_08344.htm.txt,0,0,0,0,1
24,2009_08345.htm.txt,0,0,0,1,0
25,2009_08346.htm.txt,0,0,0,0,1
26,2009_08347.htm.txt,0,0,0,0,1
27,2009_08354.htm.txt,0,0,0,1,0
28,2009_08355.htm.txt,0,0,0,0,1
29,2009_08356.htm.txt,0,0,0,1,0
30,2009_08357.htm.txt,0,1,0,0,0
31,2009_08358.htm.txt,1,0,0,0,0
32,2009_08359.htm.txt,0,0,0,1,0
33,2009_08360.htm.txt,0,0,0,1,0
34,2009_08361.htm.txt,0,1,0,0,0
35,2009_08362.htm.txt,0,0,0,0,1
36,2009_08370.htm.txt,0,0,0,1,0
37,2009_08371.htm.txt,0,0,0,0,1
38,2009_08372.htm.txt,0,0,0,1,0
39,2009_08382.htm.txt,0,1,0,0,0
40,2009_08383.htm.txt,0,0,1,0,0
41,2009_08384.htm.txt,0,1,0,0,0
42,2009_08385.htm.txt,1,0,0,0,0
43,2009_08386.htm.txt,1,0,0,0,0
44,2009_08387.htm.txt,0,0,0,0,1
45,2009_08394.htm.txt,0,0,0,0,1
46,2009_08395.htm.txt,0,0,0,0,1
47,2009_08396.htm.txt,0,0,0,0,1
48,2009_08397.htm.txt,0,0,0,0,1
49,2009_08398.htm.txt,0,1,0,0,0
50,2009_08399.htm.txt,0,1,0,0,0
51,2009_08400.htm.txt,0,1,0,0,0
52,2009_08401.htm.txt,0,0,0,1,0
53,2009_08402.htm.txt,0,0,0,0,1
54,2009_08410.htm.txt,0,0,0,0,1
55,2009_08411.htm.txt,0,0,0,0,1
56,2009_08412.htm.txt,0,0,0,0,1
57,2009_08413.htm.txt,0,0,0,0,1
58,2009_08414.htm.txt,0,1,0,0,0
59,2009_08415.htm.txt,0,0,0,1,0
60,2009_08421.htm.txt,0,0,0,0,1
61,2009_08422.htm.txt,1,0,0,0,0
62,2009_08431.htm.txt,0,0,0,0,1
63,2009_08432.htm.txt,0,0,0,0,1
64,2009_08433.htm.txt,0,0,0,0,1
65,2009_08434.htm.txt,0,0,0,0,1
66,2009_08435.htm.txt,0,0,0,0,1
67,2009_08436.htm.txt,0,0,0,0,1
68,2009_08437.htm.txt,0,0,0,0,1
69,2009_08438.htm.txt,0,0,0,0,1
70,2009_08440.htm.txt,0,0,0,0,1
71,2009_08441.htm.txt,0,0,0,0,1
72,2009_08442.htm.txt,0,0,0,0,1
73,2009_08444.htm.txt,0,0,0,0,1
74,2009_08446.htm.txt,0,0,0,0,1
75,2009_08447.htm.txt,0,0,0,0,1
76,2009_08449.htm.txt,0,0,0,0,1
77,2009_08450.htm.txt,0,0,0,0,1
78,2009_08452.htm.txt,0,0,0,0,1
79,2009_08455.htm.txt,0,0,0,0,1
80,2009_08456.htm.txt,0,0,0,0,1
81,2009_08457.htm.txt,0,0,0,0,1
82,2009_08459.htm.txt,0,0,0,0,1
83,2009_08462.htm.txt,0,0,0,0,1
84,2009_08465.htm.txt,0,0,1,0,0
85,2009_08479.htm.txt,0,0,1,0,0
86,2009_08480.htm.txt,0,0,0,0,1
87,2009_08485.htm.txt,0,0,1,0,0
88,2009_08487.htm.txt,0,0,1,0,0
89,2009_08488.htm.txt,0,0,0,0,1
90,2009_08490.htm.txt,0,0,1,0,0
91,2009_08495.htm.txt,0,0,0,0,1
92,2009_08498.htm.txt,0,0,0,0,1
93,2009_08502.htm.txt,0,0,0,0,1
94,2009_08503.htm.txt,0,0,0,0,1
95,2009_08504.htm.txt,0,0,0,0,1
96,2009_08506.htm.txt,0,0,0,0,1
97,2009_08513.htm.txt,0,0,0,0,1
98,2009_08515.htm.txt,0,0,0,0,1
99,2009_08516.htm.txt,0,0,0,0,1
100,2009_08517.htm.txt,0,0,0,1,0
101,2009_08518.htm.txt,0,0,0,0,1
102,2009_08519.htm.txt,0,0,0,0,1
103,2009_08520.htm.txt,0,0,0,0,1
104,2009_08521.htm.txt,0,0,0,0,1
105,2009_08522.htm.txt,0,0,0,0,1
106,2009_08523.htm.txt,0,0,0,0,1
107,2009_08524.htm.txt,0,0,0,0,1
108,2009_08525.htm.txt,0,0,0,0,1
109,2009_08594.htm.txt,0,0,0,0,1
110,2009_08595.htm.txt,0,0,0,0,1
111,2009_08631.htm.txt,0,0,0,0,1
112,2009_08632.htm.txt,0,0,0,0,1
113,2009_08633.htm.txt,0,0,0,0,1
114,2009_08634.htm.txt,0,0,0,0,1
115,2009_08635.htm.txt,0,0,0,0,1
116,2009_08636.htm.txt,0,0,0,0,1
117,2009_08637.htm.txt,0,0,0,0,1
118,2009_08638.htm.txt,0,0,0,0,1
119,2009_08639.htm.txt,0,0,0,0,1
120,2009_08640.htm.txt,0,0,0,0,1
121,2009_08641.htm.txt,0,0,0,0,1
122,2009_08642.htm.txt,0,0,0,0,1
123,2009_08643.htm.txt,0,0,0,0,1
124,2009_08647.htm.txt,0,0,1,0,0
125,2009_08648.htm.txt,0,0,0,0,1
126,2009_08653.htm.txt,0,0,0,0,1
127,2009_08654.htm.txt,0,1,0,0,0
128,2009_08656.htm.txt,0,0,0,0,1
129,2009_08657.htm.txt,0,1,0,0,0
130,2009_08658.htm.txt,0,1,0,0,0
131,2009_08659.htm.txt,0,1,0,0,0
132,2009_08660.htm.txt,0,0,1,0,0
133,2009_08661.htm.txt,0,0,0,0,1
134,2009_08680.htm.txt,0,0,1,0,0
135,2009_08681.htm.txt,0,0,1,0,0
136,2009_08682.htm.txt,0,0,0,0,1
137,2009_08686.htm.txt,0,0,1,0,0
138,2009_08688.htm.txt,0,0,0,0,1
139,2009_08689.htm.txt,0,0,0,0,1
140,2009_08691.htm.txt,0,0,0,0,1
141,2009_08696.htm.txt,0,0,0,0,1
142,2009_08698.htm.txt,0,0,0,0,1
143,2009_08700.htm.txt,0,0,0,0,1
144,2009_08701.htm.txt,0,0,0,0,1
145,2009_08704.htm.txt,0,0,0,0,1
146,2009_08707.htm.txt,0,0,0,0,1
147,2009_08708.htm.txt,0,0,0,1,0
148,2009_08709.htm.txt,0,0,0,0,1
149,2009_08710.htm.txt,0,0,0,0,1
150,2009_08711.htm.txt,0,0,0,0,1
151,2009_08712.htm.txt,0,0,0,0,1
152,2009_08713.htm.txt,0,0,0,0,1
153,2009_08714.htm.txt,0,0,0,0,1
154,2009_08719.htm.txt,0,0,0,0,1
155,2009_08796.htm.txt,0,0,0,0,1
156,2009_08797.htm.txt,0,0,0,0,1
157,2009_08832.htm.txt,0,0,0,0,1
158,2009_08833.htm.txt,0,0,0,0,1
