,judges_last_name,judges_first_name,law school,grad year,elect,military,ADA,APD,Prof,female,CC,SC-AJ,SC,SC-AJ & SC,start year,nycourts,ballotpedia,1976,1980,1981,1984,1985,1986,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,retired,arrested,lost-reelection,died,left,appointed-to-other-depart,contested
0,              aarons ,,cuny,1989,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2009,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,        abdus-salaam ,,columbia,1977,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1991,1.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,               adams ,,tulsa,1977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,           adlerberg ,,brooklyn,1959,,,,,,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,            affronti ,,sanfrancisco,1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1988,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,          alessandro ,,unknown,,,,,,,0.0,1.0,0.0,1.0,0.0,2003,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,             alfieri ,,pace,1979,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2005,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,               allen ,,cornell,1974,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1992,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,                aloi ,,akron,1970,,,,,,0.0,1.0,1.0,0.0,0.0,1999,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,              aloise ,,st.johns,1982,,,,,,0.0,0.0,0.0,1.0,0.0,2003,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,              alonzo ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,              altman ,,brooklyn,1960,,,,,,0.0,0.0,1.0,0.0,0.0,1978,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,            alvarado ,,nyu,1976,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1994,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,           ambreacht ,,unknown,,,,,,,,,,,,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
