,Column_Name,Dtype
0,elect,int64
1,military,int64
2,APD,int64
3,Prof,int64
4,female,int64
5,CC,int64
6,SC-AJ,int64
7,SC,int64
8,SC-AJ & SC,int64
9,start year,int64
10,nycourts,int64
11,1976,int64
12,1980,int64
13,1981,int64
14,1984,int64
15,1985,int64
16,1986,int64
17,1988,int64
18,1989,int64
19,1990,int64
20,1991,int64
21,1992,int64
22,1993,int64
23,1994,int64
24,1995,int64
25,1996,int64
26,1997,int64
27,1998,int64
28,1999,int64
29,2000,int64
30,2001,int64
31,2002,int64
32,2003,int64
33,2004,int64
34,2005,int64
35,2006,int64
36,2007,int64
37,2008,int64
38,2009,int64
39,2010,int64
40,2011,int64
41,2012,int64
42,2013,int64
43,2014,int64
44,2015,int64
45,2016,int64
46,retired,int64
47,arrested,int64
48,lost-reelection,int64
49,died,int64
50,left,int64
51,appointed-to-other-depart,int64
52,contested,int64
53,judge_law_school_missing,int64
54,judge_elect_missing,int64
55,judge_military_missing,int64
56,judge_APD_missing,int64
57,judge_info_missing,int64
58,judge_Prof_missing,int64
59,judge_CC_missing,int64
60,judge_SC-AJ_missing,int64
61,judge_SC_missing,int64
62,judge_SC-AJ & SC_missing,int64
63,judge_startyear_missing,int64
64,judge_female_missing,int64
65,da_female,float64
66,da_black,float64
67,da_2003,float64
68,da_2004,float64
69,da_2005,float64
70,da_2006,float64
71,da_2007,float64
72,da_2008,float64
73,da_2009,float64
74,da_2010,float64
75,da_2011,float64
76,da_2012,float64
77,da_2013,float64
78,da_2014,float64
79,da_2015,float64
80,da_2016,float64
81,da_2017,float64
82,da_2004-contested,float64
83,da_2005-contested,float64
84,da_2007-contested,float64
85,da_2008-contested,float64
86,da_2009-contested,float64
87,da_2010-contested,float64
88,da_2011-contested,float64
89,da_2012-contested,float64
90,da_2013-contested,float64
91,da_2014-contested,float64
92,da_2015-contested,float64
93,da_female_nan,float64
94,da_black_nan,float64
95,da_university_nan,float64
96,election_nan,float64
97,contested_nan,float64
98,defense__conflict defender,int64
99,defense__legal aid bureau,int64
100,defense__legal aid society,int64
101,defense__public defender,int64
102,defense__nan,int64
103,da_judge_same_school,int64
104,Unanimous,int64
105,Gap_days,float64
106,Y,int64
107,f_Monday,int64
108,f_Tuesday,int64
109,f_Wednesday,int64
110,f_Thursday,int64
111,f_Friday,int64
112,f_Saturday,int64
113,f_Sunday,int64
114,a_Monday,int64
115,a_Tuesday,int64
116,a_Wednesday,int64
117,a_Thursday,int64
118,a_Friday,int64
119,a_Saturday,int64
120,a_Sunday,int64
121,FirstD_1975.0,int64
122,FirstD_1976.0,int64
123,FirstD_1977.0,int64
